Bakersfield,California,367406,456.70,103.40
Baltimore,Maryland,623513,1338.50,119.40
Boston,Massachusetts,654413,725.70,132.50
Buffalo,New York,258419,1228.20,95.80
Chicago,Illinois,2724121,884.30,116.90
Cincinnati,Ohio,297671,905.40,93.80
Cleveland,Ohio,388655,1334.30,101.00
Colorado Springs,Colorado,444949,458.30,92.80
Columbus,Ohio,830811,549.20,92.00
Corpus Christi,Texas,319211,656.00,90.80
Dallas,Texas,1272396,664.70,91.90
Denver,Colorado,665353,598.60,103.20
Detroit,Michigan,684694,1988.60,99.40
El Paso,Texas,680273,392.60,90.40
Fort Wayne,Indiana,257172,317.30,94.40
Fort Worth,Texas,789035,560.20,91.10
Fresno,California,513187,464.20,117.30
Houston,Texas,2219933,991.40,92.20
Indianapolis,Indiana,858238,1254.70,87.20
Jacksonville,Florida,856021,683.70,92.90
Kansas City,Missouri,468417,1251.40,97.80
Las Vegas,Nevada,1530899,841.10,101.90
Lexington,Kentucky,311848,333.80,92.80
Long Beach,California,471123,489.00,136.40
Los Angeles,California,3906772,490.70,136.40
Louisville Metro,Kentucky,677710,591.00,87.70
Memphis,Tennessee,654922,1740.50,88.20
Miami,Florida,421996,1060.00,106.00
Milwaukee,Wisconsin,600374,1476.40,101.90
Minneapolis,Minnesota,404461,1012.00,111.00
Mobile,Alabama,250655,593.60,92.70
Nashville,Tennessee,647689,1122.50,88.90
New York,New York,8473938,596.70,181.70
Newark,New Jersey,279110,1077.70,129.70
Oakland,California,409994,1685.40,139.10
Oklahoma City,Oklahoma,617975,773.80,91.70
Omaha,Nebraska,438465,560.60,88.30
Orlando,Florida,259675,901.10,97.80
Philadelphia,Pennsylvania,1559062,1021.40,126.50
Phoenix,Arizona,1529852,571.90,100.70
Pittsburgh,Pennsylvania,307613,798.10,91.50
Plano,Texas,277822,165.20,97.40
Portland,Oregon,615672,472.80,111.30
Raleigh,North Carolina,428993,392.30,98.20
Riverside,California,319453,433.20,112.50
Sacramento,California,482767,614.80,116.20
San Antonio,Texas,1428465,539.30,95.70
San Diego,California,1368690,380.90,132.30
San Francisco,California,850294,795.10,164.00
San Jose,California,1009679,321.10,156.10
Seattle,Washington,663410,603.10,121.40
St. Louis,Missouri,318574,1678.70,90.40
St. Paul,Minnesota,297984,662.50,110.00
Tampa,Florida,357124,582.40,92.40
Tucson,Arizona,525486,640.90,96.50
Tulsa,Oklahoma,399556,805.10,88.40
Washington,District of Columbia,658893,1185.30,140.10
Wichita,Kansas,386486,793.00,91.80
,,,,
,,,,
